major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0     262144 loop0
 254        0     864804 zram0
 179        0    7636800 mmcblk0
 179        1      32768 mmcblk0p1
 179        2      32768 mmcblk0p2
 179        3        256 mmcblk0p3
 179        4        256 mmcblk0p4
 179        5      65536 mmcblk0p5
 179        6      65536 mmcblk0p6
 179        7      32768 mmcblk0p7
 179        8      32768 mmcblk0p8
 179        9    2097152 mmcblk0p9
 179       10      16384 mmcblk0p10
 179       11        128 mmcblk0p11
 179       12        128 mmcblk0p12
 179       13         64 mmcblk0p13
 179       14         64 mmcblk0p14
 179       15         64 mmcblk0p15
 259        0         64 mmcblk0p16
 259        1        512 mmcblk0p17
 259        2      15360 mmcblk0p18
 259        3      16384 mmcblk0p19
 259        4      16384 mmcblk0p20
 259        5       2048 mmcblk0p21
 259        6       2048 mmcblk0p22
 259        7     278528 mmcblk0p23
 259        8      16384 mmcblk0p24
 259        9      16384 mmcblk0p25
 259       10    4859183 mmcblk0p26
 253        0     958652 dm-0
 253        1     111704 dm-1
 253        2     525204 dm-2
